year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes
2025,2025StateoftheStateBook.pdf,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,"But I know our work isn't done. Worries about crime and struggles to make ends meet are too common. Our state has to be livable, and people have to be able to afford to live in it. We must keep fighting and delivering for the children and families of New York. We need safer streets and subways. We need good jobs and higher wages. We need housing that's affordable. We need fast public transit and dependable infrastructure. That's my vision of New York—a place where hardworking people get ahead, where children play safely in their neighborhoods, where opportunities are plentiful. That's how I felt when I was growing up—which is not to say it wasn't hard sometimes. My parents started out in a trailer where my brother was born. When I came along, we moved to a cramped apartment in the shadow of the steel plant where my dad, uncles, and grandfather all worked. My mom scrimped and saved for our family of eight. She made spam sandwiches on expired bread from the freezer and bought our clothes on layaway. When I was 13, I had my eye on a stylish red plastic raincoat at a women's store on Main Street. It was an extravagance I knew I could never ask my parents for. So I saved every penny I earned babysitting for 50 cents an hour until I could pay for it myself. It took months, but buying that coat with my own money felt like such an achievement. It was proof to a young teenager that with hard work and perseverance, anything was possible. But just a few years later, that store and many shops around it went dark. The five and dime, the soda counter, the last of the clothing stores—all gone. It was the 1970s. Inflation was over 13 percent. Crime was out of control. Factories were shutting down. Our land, air and water were polluted. So many communities lost the factory and struggled for decades to get back up. Every one of my five siblings left home because jobs were more plentiful in other states. That hurt. It wasn't just young people leaving. Hope left too. I share this not to give a history lesson but to reinforce that these fights are personal to me. I don't ever want the people of this State, our neighbors to have that sense of anxiety that was pervasive when I was younger. That's why I decided to stay and fight. Witnessing the struggles and pain of those left behind inspired me to run for office, to be a voice for communities who had fallen on hard times, because I had lived that experience. Today, I know many New Yorkers are struggling. Inflation. Sky-high rents. Wages that don't feel like they keep up. A changing economy, an influx of unexpected arrivals with great needs, and an unsettled world. And that's why I fight day in and day out to make New York safer, healthier, cleaner, more affordable for you and your family. A state of the state address can be full of flowery rhetoric but fail to address the needs of the people. I believe it must be more than just words. It should be a concrete blueprint that will deliver actual results that New Yorkers will feel. That is what New Yorkers expect, and that is what you will see in this book: a bold yet actionable plan that addresses affordability and public safety. Because your family IS my fight—and I will never stop fighting for the people of New York. Slash Middle Class Taxes Up to Five Percent, Reaching 67-Year Lows",HCR,DOT; MTA,program/policy,yes,13 percent,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Give Back $3 Billion in Inflation Rebates to New Yorkers,,,funding/tax/benefit,yes,$3 Billion; 3 Billion,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Vastly Expand New York's Child Tax Credit,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Chapter 1: Putting Money Back in New Yorkers' Pockets 13,Fight for Federal Tax Relief,,,other,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Supporting the Youngest New Yorkers and their Families,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Establish the Birth Allowance for Beginning Year Benefit,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Support Families When a Baby is Born,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Expand Access to Vital Nutrition Programs for Mothers and Children,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,"Increase Dual Enrollment in Supplemental Nutrition Assistance Program and Special Supplemental Nutrition Program for Women, Infants, and Children",,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Create The Parent Partnership Project,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Expand Lactation Support Services,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Charting a Brighter Future for Child Care,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Provide Child Care Construction Grants,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Create the New York Coalition for Child Care,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Chapter 2: Supporting the Youngest New Yorkers and their Families 17,Launch a Child Care Substitute Pool,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Fostering Better Educational Opportunities,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Provide Universal School Meals,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Take Action to Ensure Distraction-Free Learning,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Boost Literacy with Free Books from Dolly Parton's Imagination Library,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Build a Statewide Data System to Improve Education and Workforce Outcomes,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Launch College in High School Opportunity Fund,,,program/governance,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Streamline the Part-Time Tuition Assistance Program,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Invest in Student Success at the State University of New York,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Invest in Cutting-Edge Research by Funding a New York State Innovation Fund,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Unplug and Play,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Invest in New York State's Recreation Infrastructure,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Invest in Playgrounds,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,"Launch Get Offline, Get Outside 2.0",,,program/governance,yes,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Double Down on NY SWIMS,,,other,yes,Double,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Get More Kids Swimming and Prevent Child Drowning,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Expand Media Literacy Effort to Combat Misinformation,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Outlaw Artificial Intelligence-Generated Child Sexual Abuse Material,,,legislation/regulation,no,,legislation_required,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Make Artificial Intelligence Companion Technology Safer,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Restoring Trust and Confidence in the Legitimacy of the Justice System,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Expand Support for Intelligence Sharing and Agency Coordination,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Strengthen the State's Response Against Transnational Criminal Networks,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Right-size the Connection between the Discovery Law and the Speedy Trial Act to Promote True Justice,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Streamline and Clarify Discovery Requirements,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Support Safe and Vibrant Communities,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Expand Victim Support Services to Protect Vulnerable Populations,,,program/policy,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Ensure Child Victims of Crime Are Maximally Supported,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Reduce Reoffending Through Innovative Justice Initiatives,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
2025,2025StateoftheStateBook.pdf,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Supporting our First Responders,,,other,no,,mixed,First-pass coding from 2025 SOTS table of contents.
