year,domain,n_items,pct_items,n_words,pct_words
2022,public_safety_justice,28,12.73,4244,10.9
2022,health_care,25,11.36,3599,9.24
2022,mental_health,4,1.82,731,1.88
2022,housing_homelessness,15,6.82,2317,5.95
2022,climate_energy_env,24,10.91,4814,12.36
2022,education_k12,15,6.82,2749,7.06
2022,higher_ed_workforce,20,9.09,4597,11.8
2022,child_care_family,1,0.45,132,0.34
2022,affordability_cost,9,4.09,1398,3.59
2022,economic_development,15,6.82,3229,8.29
2022,infrastructure_transport,24,10.91,5284,13.57
2022,agriculture_food,5,2.27,642,1.65
2022,government_ops,1,0.45,119,0.31
2022,equity_civil_rights,14,6.36,2702,6.94
2022,aging_seniors,3,1.36,376,0.97
2022,parks_recreation,2,0.91,161,0.41
2022,unclassified,15,6.82,1857,4.77
2023,public_safety_justice,13,9.77,2289,9.45
2023,health_care,19,14.29,3248,13.4
2023,mental_health,2,1.5,302,1.25
2023,housing_homelessness,14,10.53,2680,11.06
2023,climate_energy_env,7,5.26,2556,10.55
2023,education_k12,7,5.26,954,3.94
2023,higher_ed_workforce,8,6.02,1277,5.27
2023,child_care_family,7,5.26,1271,5.25
2023,affordability_cost,6,4.51,1654,6.83
2023,economic_development,8,6.02,1347,5.56
2023,infrastructure_transport,15,11.28,3049,12.58
2023,agriculture_food,3,2.26,408,1.68
2023,government_ops,7,5.26,1431,5.91
2023,equity_civil_rights,7,5.26,554,2.29
2023,aging_seniors,0,0.0,0,0.0
2023,parks_recreation,1,0.75,132,0.54
2023,unclassified,9,6.77,1078,4.45
2024,public_safety_justice,21,9.59,2745,7.23
2024,health_care,30,13.7,6948,18.31
2024,mental_health,20,9.13,2487,6.55
2024,housing_homelessness,9,4.11,1862,4.91
2024,climate_energy_env,31,14.16,5266,13.88
2024,education_k12,6,2.74,909,2.4
2024,higher_ed_workforce,18,8.22,3858,10.17
2024,child_care_family,4,1.83,415,1.09
2024,affordability_cost,6,2.74,1382,3.64
2024,economic_development,9,4.11,2356,6.21
2024,infrastructure_transport,11,5.02,2041,5.38
2024,agriculture_food,2,0.91,262,0.69
2024,government_ops,6,2.74,1316,3.47
2024,equity_civil_rights,14,6.39,2009,5.29
2024,aging_seniors,2,0.91,379,1.0
2024,parks_recreation,9,4.11,1012,2.67
2024,unclassified,21,9.59,2698,7.11
2025,public_safety_justice,18,8.41,2230,9.04
2025,health_care,23,10.75,2603,10.55
2025,mental_health,8,3.74,871,3.53
2025,housing_homelessness,15,7.01,1699,6.89
2025,climate_energy_env,13,6.07,1315,5.33
2025,education_k12,10,4.67,1306,5.29
2025,higher_ed_workforce,8,3.74,928,3.76
2025,child_care_family,8,3.74,1222,4.95
2025,affordability_cost,9,4.21,1145,4.64
2025,economic_development,17,7.94,2158,8.75
2025,infrastructure_transport,21,9.81,2628,10.65
2025,agriculture_food,5,2.34,526,2.13
2025,government_ops,9,4.21,1132,4.59
2025,equity_civil_rights,14,6.54,1320,5.35
2025,aging_seniors,2,0.93,209,0.85
2025,parks_recreation,4,1.87,657,2.66
2025,unclassified,30,14.02,2718,11.02
2026,public_safety_justice,16,7.58,2693,8.02
2026,health_care,22,10.43,3167,9.43
2026,mental_health,8,3.79,1161,3.46
2026,housing_homelessness,10,4.74,1850,5.51
2026,climate_energy_env,19,9.0,2919,8.7
2026,education_k12,17,8.06,2792,8.32
2026,higher_ed_workforce,10,4.74,1686,5.02
2026,child_care_family,9,4.27,1191,3.55
2026,affordability_cost,9,4.27,1535,4.57
2026,economic_development,17,8.06,3120,9.29
2026,infrastructure_transport,11,5.21,2000,5.96
2026,agriculture_food,7,3.32,1197,3.57
2026,government_ops,9,4.27,1633,4.86
2026,equity_civil_rights,5,2.37,827,2.46
2026,aging_seniors,3,1.42,509,1.52
2026,parks_recreation,7,3.32,1128,3.36
2026,unclassified,32,15.17,4162,12.4
