year,section_bucket,subsection,proposal_title,lead_agency,implementation_pathway,source_page,health_framed,commitment_text
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Enrich Social Media Analysis to Identify Threats and Criminal Activity,,mixed,52,no,"The New York State Police use publicly available social media activity and posts to assist in identifying credible criminal activity happening in the state. But the pool of information is so large and rapidly changing that the State Police's current efforts only scratch the surface of what is possible to detect and interdict.

Governor Hochul will support enhancing the Social Media Analysis Unit at the NYSIC by staffing a team of analysts to perform daily analysis of publicly available social media activity - particularly that which pertains to school violence threats, gang activity, and illegal firearms - to tie information back to existing criminal investigations, initiate new investigations, and communicate information on threats to appropriate field personnel."
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Establish Gun Intelligence Centers Across the State to Share Meaningful Crime Data,,executive_action,53,no,"The Federal Bureau of Alcohol, Tobacco, Firearms, and Explosives has developed the most comprehensive and effective Crime Gun Intelligence Centers (CGIC) in the nation, one of which is already being used by the New York City Police Department. The centers use the National Integrated Ballistics Information Network to link crimes, identify groups involved in shootings, and pinpoint where illegal guns are coming from in a timely manner - providing investigators with actionable intelligence and assisting law enforcement in reducing gun violence.

Linking data across the state would enable law enforcement to pursue more cases against irresponsible gun dealers and straw purchasers. Therefore, Governor Hochul will establish a CGIC in every region of New York State, equipped with instruments that trace shell casings and qualified staff to collect and compare ballistic evidence. This capability will ensure the State Police will be able to effectively solve major crimes and disrupt interstate trafficking of illegal firearms."
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Expand the Level and Scope of the State’s Direct Support to Local Law Enforcement,DCJS,mixed,50,no,"New York's nationally recognized Gun Involved Violence Elimination (GIVE) initiative within the Division of Criminal Justice Services (DCJS) provides dedicated State funding to local law enforcement agencies within the 17 counties in which more than 80 percent of the state's violent crime is committed outside of New York City. GIVE funding supports the hiring of officers and prosecutors and promotes the implementation of evidence-based law enforcement strategies, such as local intelligence-led policing focused on the small number of individuals responsible for a disproportionate share of violence within the community, and hyper-local efforts to direct policing resources and improve physical conditions in neighborhoods that have become hotspots for violent crime.

To continue supporting local law enforcement, Governor Hochul will increase funding for GIVE programs, enabling the launch of several new, critical initiatives to stop the surge of violence:

• Standing up a non-fatal shooting program to improve the often-abysmal clearance rate of these crimes, solving today's shootings that cause injury before they become tomorrow's fatal tragedies. • Supporting law enforcement participation in youth engagement and community-based programs that promote positive skills. • Implementing an alternative community supervision pilot program using the ""Swift, Certain, and Fair,"" model to reduce re-offenses and improve connections with employment.

Additionally, increased funding will support ongoing procedural justice and community trust-building technical assistance from DCJS between law enforcement, community-based organizations, and residents to ensure that our neighborhoods are safe for all New Yorkers."
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,"Form a Gun Tracing Consortium with Local Law Enforcement Agencies, and Neighboring States",,mixed,49,no,"Much of New York's recent surge in gun violence is fueled by easily obtainable firearms and a rise in ghost guns, with most of these weapons trafficked into and throughout the state from other areas of the country. To take a holistic and proactive approach to regional law enforcement, Governor Hochul will direct the State Police to form a new Interstate Gun-Tracing Consortium to facilitate the exchange of intelligence between localities and neighboring states.

The consortium would include the New York State Police, local law enforcement agencies from across the state, and law enforcement agencies in neighboring states. Their efforts will focus on real-time intelligence exchange and operational coordination targeting gun interdiction.

While other coalitions have tried to attack this problem before, they typically focus on activity within a major city. This new task force will attack the root of the trafficking problem by stretching beyond city limits - and onto the highways and interstate lines where guns move. By combining forces, the states and localities in this coalition will leverage their individual efforts to greater effect."
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Invest in New York’s Crime Analysis Center Network,,executive_budget,51,no,"New York's Crime Analysis Centers (CACs) collect and share criminal intelligence and data among over 350 state and local law enforcement agencies, serving as the backbone of efforts to deter, investigate, and solve crimes including murders,

shootings, robberies, hate crimes, and serial burglaries. New York's CAC network has become a central part of the state's crime reduction strategy. In 2020, the current network of 10 CACs assisted local law enforcement agencies across the state with more than 60,000 requests for information and research, helping New York become and remain the safest large state (over 10 million people) in the nation.37

Despite these successes, the CAC network has been overtaxed by dramatic growth in terms of geographic coverage areas and demand for real-time services and intelligence products by the partner law enforcement agencies across more than 30 counties. Moreover, funding has been delivered through a patchwork of resources, including several federal sources that have declined in recent years.

To strengthen the work of the CAC network, Governor Hochul will establish a stable funding stream and increase current funding levels, enabling more proactive and effective crime analysis services that reflect today's crime trends. This investment will allow for new crime analysis technology, additional crime analysts, and enhanced investigative support to help police and prosecutors more effectively solve and prevent crime, and protect New Yorkers.

Additionally, each center will have dedicated crime gun and ballistic tracing equipment installed to allow local law enforcement to process evidence to solve and prevent firearm-involved violent crime, adding critical crime gun intelligence resources as an additional capability to the state's GIVE efforts (mentioned above)."
2022,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Provide Additional Law Enforcement Training on the State’s Red Flag Law to Protect New Yorkers,,mixed,58,no,"In August 2019,40 New York's Red Flag Law took effect, allowing family members, law enforcement, and school officials to ""flag"" individuals likely to engage in conduct that would result in serious harm to themselves or others. Flagged individuals are reviewed by the courts to determine whether to temporarily seize firearms from individuals believed to pose a severe threat of harm to themselves or to others; and to prevent these individuals from purchasing, possessing, or attempting to purchase or possess any type of firearm, including handguns, rifles, or shotguns. To date, more than 1,100 orders have been issued, but regional and local disparities indicate that additional training would be helpful for potential petitioners, including law enforcement officials and domestic violence advocates.

To improve the use and implementation of this lifesaving law, Governor Hochul will direct State-led Red Flag Law trainings in each region of New York over the coming year to ensure this law is fully implemented."
2022,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Respond to Regional Needs in the Aftermath of Gun Violence,,mixed,57,no,"There is a need for new and innovative strategies that reach the people and places that have been hardest hit by the spike in gun violence, particularly New York's most vulnerable young people. Governor Hochul will establish a new initiative to fund innovative community empowerment and crime-reduction strategies that bring together all those impacted by gun violence: residents, local governments, community-based organizations, schools, educational institutions, and law enforcement agencies.

Governor Hochul will direct DCJS to identify up to 10 areas of New York that have experienced the greatest increase in shooting incidents, injuries, fatalities, and firearm-involved crimes, and seek comprehensive ""whole-of-neighborhood"" applications to support new partnerships and programs between government and community organizations aimed at repairing and rebuilding in the aftermath of violence, and serving the complex needs of communities victimized by crime involving guns. This community engagement process will also serve to better align different sources of state support to address gaps in, for instance, employment, education, public safety, health and mental healthcare, and housing."
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Stop Cryptocurrency Crimes with New Software,,mixed,53,no,"There is a growing use of cryptocurrency among gun traffickers trying to evade law enforcement and New York's stringent gun laws, including a growing dark-web marketplaces for firearms and other contraband. Emerging tools would enable New York State Police to identify criminal transactions, including those involving the

purchase of illegal firearms for gun trafficking, and pursue the individuals and organizations involved.

Governor Hochul will fund the purchase of blockchain-analysis software to enhance the State's ability to proactively and reactively monitor cryptocurrency exchanges. The purchase of these tools will enable the State Police to support members of law enforcement who are increasingly responding to crimes involving cryptocurrency."
2022,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Triple Investment in Community-Based Gun Violence Response,,executive_budget,55,no,"Just as New York's recovery from the COVID-19 pandemic has been uneven across the state, so has the persistence of gun violence within our communities. One effective effort to curb the cycle of gun violence has been the SNUG street outreach program, which supports neighborhood-based programs that promote community outreach, family engagement, and intervention to steer young people away from gun violence. With the spike in gun crimes that followed the onset of the pandemic, the State increased funding for SNUG on an emergency basis from $4. million to $10. million.

To strengthen and expand the State's approach to community-based gun violence response, Governor Hochul will sustain that emergency increase in SNUG funding levels and increase funding by an additional 50 percent in the coming year.

This significant investment in New York's communities will:

• Expand hospital-based community gun violence specialists from just eight of the state's trauma centers to all 22 to address hospital admissions for firearm-involved injuries.

• Expand the state's network of SNUG street outreach and community-based violence interruption programs to Niagara Falls, Utica, and Schenectady, all of which have experienced significant surges in gun violence since the onset of the pandemic. • Pilot a new initiative to provide wraparound services within the SNUG network to increase participation in programming by helping meet the basic needs of New York's most vulnerable young people. • Provide skills-based job-readiness and work-placement training for at-risk youth who are involved in the state's violence interruption work. • Launch a first-in-the-nation program to recruit and retain outreach workers and overcome one of the primary obstacles to scaling community-based violence prevention efforts.

Additionally, Governor Hochul will sustain the pandemic-related increase in funding for New York City-based violence interruption and hospital-based responder programs."
2022,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Triple Resources for State Police’s Crime Gun-Tracing Efforts,,mixed,49,no,"New York State has cutting-edge technology to identify firearm origins, straw purchasers, sales from recovered crime guns, and travel routes used by gun traffickers. But there remains a demand for a team of data analysts with the skills needed to deploy these tools most effectively toward preventing gun trafficking. To support law enforcement actions that shut down major gun traffickers, operations, and routes, Governor Hochul will triple the state's gun violence intelligence resources by staffing the New York State Intelligence Center (NYSIC) with a team of analysts necessary to process and investigate crime guns across the state faster than before."
