id,year,title,lead_agencies,text_capture_confidence,subgoal_count,reasons
2022160,2022,Begin Construction on Major Retrofit Showcase Projects in 2022,,high,0,no_detected_commitment_language
2022090,2022,Complete the Albany Skyway,DOT,high,0,short_non_action_title; no_detected_commitment_language
2022107,2022,Complete the Westchester RiverWalk,,high,1,short_non_action_title
2022100,2022,Cover Portions of the Cross-Bronx Expressway to Reconnect Neighborhoods and Increase Open Space,,high,0,no_detected_commitment_language
2022154,2022,Create High-Quality Solar Jobs for More New Yorkers,,high,0,no_detected_commitment_language
2022111,2022,Develop the AI Industry Through a Cold Spring Harbor Laboratory and Stony Brook University Partnership,,high,0,no_detected_commitment_language
2022009,2022,Grow the Home and Community-Based Health Care Workforce Through Benefits and Skills Development,,high,0,no_detected_commitment_language
2022102,2022,Improve East Side Commercial and Residential Infrastructure in Buffalo,,high,0,no_detected_commitment_language
2022011,2022,Improve Training and Coordination Between EMS Professionals Statewide,,high,0,no_detected_commitment_language
2022104,2022,Improve the Utica Harbor Point Waterfront,,high,0,no_detected_commitment_language
2022149,2022,"Power One-Third of New York City with Wind, Solar, and Hydro",,high,0,no_detected_commitment_language
2022110,2022,Rebuild the Wadsworth Center in Albany into a World-Class Campus,DOH,high,0,no_detected_commitment_language
2022099,2022,Reconnect and Restore Neighborhoods Across the Kensington Expressway in Buffalo,,high,0,no_detected_commitment_language
2022136,2022,Spur Transit-Oriented Development,MTA,high,2,short_non_action_title
2022106,2022,Strengthen Connections to the Niagara Falls Waterfront,,high,0,no_detected_commitment_language
2022118,2022,Support Congestion Pricing in Manhattan to Reduce Traffic and Generate Funding for Transit,,high,0,no_detected_commitment_language
2022010,2022,Support More Career Flexibility for Direct Care Workers,,high,0,no_detected_commitment_language
2023120,2023,Allow New York City to Lower Its Speed Limit,,high,0,no_detected_commitment_language
2023060,2023,"Clean Up ""Forever Chemicals""",,high,2,short_non_action_title
2023125,2023,Close the DWI Loophole,,high,1,short_non_action_title
2023033,2023,Counter Cyber Threats,,high,1,short_non_action_title
2023068,2023,Directly Admit All New York Students to Their Local Community Colleges,,high,0,no_detected_commitment_language
2023049,2023,End Preventable Epidemics,,high,2,short_non_action_title
2023062,2023,Index the Minimum Wage,,high,2,short_non_action_title
2023023,2023,Launch an Unprecedented Four New State Police Academy Classes,,high,0,no_detected_commitment_language
2023055,2023,Make Buildings More Sustainable,,high,2,short_non_action_title
2023054,2023,Make Energy More Affordable,,high,3,short_non_action_title
2023061,2023,Make Our Parks Energy-Independent,,high,1,short_non_action_title
2023051,2023,Rebuild the Wadsworth Laboratories,,high,2,short_non_action_title
2023121,2023,Spur Transportation Innovation Upstate,,high,3,short_non_action_title
2023124,2023,Stop Secondary Crashes,,high,1,short_non_action_title
2024100,2024,Bolster Disaster Response,,high,3,short_non_action_title
2024137,2024,Bolster Workforce Development,,high,0,short_non_action_title; no_detected_commitment_language
2024054,2024,Eliminate Co-Pays for Insulin,DFS,high,1,short_non_action_title
2024164,2024,End Preventable Epidemics,,high,5,short_non_action_title
2024207,2024,Grow New York's Bioeconomy,,high,3,short_non_action_title
2024163,2024,Improve Public Health for All New Yorkers,,high,0,no_detected_commitment_language
2024156,2024,Increase Affordability and Accessibility,,high,0,no_detected_commitment_language
2024079,2024,Make FAFSA Completion Universal,SUNY,high,1,short_non_action_title
2024050,2024,Prohibit Unfair Business Practices,,high,1,short_non_action_title
2024097,2024,Protect Our Communities,,high,0,no_detected_commitment_language
2024093,2024,Protect Our Homes,,high,0,no_detected_commitment_language
2024030,2024,Stop Organized Retail Theft,,high,1,short_non_action_title
2024062,2024,Streamline Regulatory Processes to Increase Housing Production,DEC,high,0,no_detected_commitment_language
2024151,2024,Strengthen the Healthcare Workforce,,high,0,no_detected_commitment_language
2024131,2024,Transform Blighted Communities,,high,2,short_non_action_title
2025010,2025,Charting a Brighter Future for Child Care,,high,0,no_detected_commitment_language
2025100,2025,Create an Affordable Homebuyer Tax Incentive,,high,0,no_detected_commitment_language
2025086,2025,Digitize Youth Working Papers,,high,1,short_non_action_title
2025054,2025,Double Down on Shovel-Ready Sites for Modern Manufacturing,,high,0,no_detected_commitment_language
2025089,2025,Embrace a Circular Economy at the Empire State Plaza,,high,0,no_detected_commitment_language
2025036,2025,Expand Victim Support Services to Protect Vulnerable Populations,,high,0,no_detected_commitment_language
2025115,2025,Extend Security Deposit Protections to Rent-Regulated Tenants,,high,0,no_detected_commitment_language
2025003,2025,Fight for Federal Tax Relief,,high,0,no_detected_commitment_language
2025124,2025,Standardize Returns and Refunds,,high,2,short_non_action_title
2025062,2025,Supporting Agriculture,,high,1,very_short_title
2025056,2025,Turbocharge Hiring by Startups,,high,1,short_non_action_title
2025022,2025,Unplug and Play,,high,1,short_non_action_title
2026089,2026,Accelerating Critical Infrastructure Projects,,high,3,short_non_action_title
2026114,2026,Bolstering Biotechnology Statewide,,high,1,short_non_action_title
2026105,2026,Ending Taxes on Tips,,high,1,short_non_action_title
2026009,2026,Engaging with Employers as Partners,,high,0,no_detected_commitment_language
2026110,2026,Enhancing Illegal Vape Enforcement,Department of Taxation and Finance,high,1,short_non_action_title
2026138,2026,Enhancing Student Borrower Support,DFS,high,2,short_non_action_title
2026080,2026,Exploring the Niagara Gorge,,high,3,short_non_action_title
2026060,2026,Extending Orders of Protection,,high,1,short_non_action_title
2026106,2026,Fighting Workers' Compensation Fraud,,high,1,short_non_action_title
2026077,2026,Getting the Lead Out,,high,1,short_non_action_title
2026135,2026,Holding the Line on Costs and Promoting College Affordability at SUNY and CUNY,CUNY,high,0,no_detected_commitment_language
2026058,2026,Improving Police Training Academies,,high,1,short_non_action_title
2026171,2026,Improving Vital Records Access,,high,3,short_non_action_title
2026021,2026,Increasing Property Insurance Transparency,,high,2,short_non_action_title
2026035,2026,Mitigating Energy Cost Burden,Public Service Commission / DPS,high,2,short_non_action_title
2026083,2026,Preserving Performing Art Spaces,,high,2,short_non_action_title
2026098,2026,Streamlining Public Procurement,,high,3,short_non_action_title
2026020,2026,Tracking Home Insurer Profitability,,high,1,short_non_action_title
